Title, SN Number, Location, Date, Image # 
"M'arthur Democrat.",sn87075163,"McArthur, Vinton County, Ohio","September 13, 1860",1
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","July 12, 1860",1
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","November 24, 1854",2
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","August 26, 1858",2
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","January 21, 1858",3
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","April 02, 1859",1
"The weekly Ottumwa courier. [volume]",sn84027352,"Ottumwa, Iowa","April 30, 1857",2
"Plymouth banner.",sn87056241,"Plymouth, Marshall County, Ind.","December 14, 1854",2
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","November 12, 1858",2
"The Cedar County advertiser. [volume]",sn85049614,"Tipton, Iowa","May 23, 1855",2
"Marshall County Republican.",sn84038034,"Plymouth, Ind.","July 14, 1859",2
"Randolph County journal. [volume]",sn86058541,"Winchester, Randolph County, Ind.","September 08, 1859",2
"Wabash express. [volume]",sn82016350,"Terre-Haute, Vigo Co[unty], Ind.","February 02, 1859",2
"Union County star and Lewisburg chronicle. [volume]",sn85038443,"Lewisburg, Pa.","June 03, 1859",2
"Wabash express. [volume]",sn82016350,"Terre-Haute, Vigo Co[unty], Ind.","October 20, 1858",2
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","July 14, 1859",2
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","July 21, 1859",2
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","April 12, 1860",5
"The daily Gate City. [volume]",sn83025182,"Keokuk, Iowa","March 05, 1860",2
"The weekly pioneer and Democrat. [volume]",sn83016751,"Saint Paul, Minn. Territory","December 02, 1859",3
"The weekly pioneer and Democrat. [volume]",sn83016751,"Saint Paul, Minn. Territory","December 02, 1859",4
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","November 05, 1856",1
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","November 24, 1859",2
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","May 12, 1857",2
"Portage sentinel. [volume]",sn83035101,"Ravenna, Ohio","May 18, 1853",2
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","March 22, 1860",5
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","August 26, 1858",2
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","January 14, 1858",3
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","January 28, 1858",3
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","February 04, 1858",3
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","February 11, 1858",3
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","April 03, 1856",2
"Plymouth banner.",sn87056241,"Plymouth, Marshall County, Ind.","December 21, 1854",2
"Brookville American. [volume]",sn85048197,"Brookville, Ind.","May 14, 1858",2
"The Bedford gazette. [volume]",sn82005159,"Bedford, Pa.","March 09, 1860",2
"Carroll free press. [volume]",sn83035366,"Carrollton [Ohio]","May 12, 1853",3
"Quasqueton guardian.",sn88059517,"Quasqueton, Buchanan County, Iowa","February 25, 1858",2
"Quasqueton guardian.",sn88059517,"Quasqueton, Buchanan County, Iowa","February 18, 1858",2
"Quasqueton guardian.",sn88059517,"Quasqueton, Buchanan County, Iowa","October 29, 1857",2
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","October 04, 1859",3
"Brookville American. [volume]",sn85048197,"Brookville, Ind.","March 26, 1858",2
"Carroll free press. [volume]",sn83035366,"Carrollton [Ohio]","May 05, 1853",3
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","December 29, 1854",2
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","September 08, 1859",2
"The Perrysburg journal. [volume]",sn85026192,"Perrysburg, Ohio","January 21, 1858",1
"The weekly Ottumwa courier. [volume]",sn84027352,"Ottumwa, Iowa","April 23, 1857",2
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","August 28, 1855",2
"Holmes County Republican. [volume]",sn84028820,"Millersburg, Holmes County, Ohio","March 24, 1859",3
"Holmes County Republican. [volume]",sn84028820,"Millersburg, Holmes County, Ohio","March 10, 1859",3
"Holmes County Republican. [volume]",sn84028820,"Millersburg, Holmes County, Ohio","March 17, 1859",3
"Holmes County Republican. [volume]",sn84028820,"Millersburg, Holmes County, Ohio","April 07, 1859",3
"Holmes County Republican. [volume]",sn84028820,"Millersburg, Holmes County, Ohio","April 21, 1859",3
"The Richmond palladium. [volume]",sn86058250,"Richmond, Ind.","January 03, 1856",2
"The Richmond Indiana palladium. [volume]",sn86058249,"Richmond, Ind.","June 14, 1855",2
"The Hillsdale standard. [volume]",sn85033637,"Hillsdale, Mich.","August 10, 1858",2
"Columbia Democrat and Bloomsburg general advertiser. [volume]",sn85025181,"Bloomsburg, Pa.","April 21, 1860",2
"The weekly Ottumwa courier. [volume]",sn84027352,"Ottumwa, Iowa","July 02, 1857",2
"Raftsman's journal. [volume]",sn85054616,"Clearfield, Pa.","January 21, 1857",3
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","November 26, 1856",2
"Marshall County Republican.",sn84038034,"Plymouth, Ind.","July 21, 1859",2
"Marshall County Republican.",sn84038034,"Plymouth, Ind.","August 02, 1860",3
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","June 04, 1857",3
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","May 22, 1856",3
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","June 12, 1856",2
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","September 09, 1858",3
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","April 10, 1856",2
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","May 21, 1857",3
"Plymouth banner.",sn87056241,"Plymouth, Marshall County, Ind.","February 01, 1855",1
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","December 23, 1853",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","February 24, 1854",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","March 10, 1854",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","December 01, 1854",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","February 20, 1857",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","June 05, 1857",2
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","December 20, 1859",3
"Bellows Falls times. [volume]",sn84022549,"Bellows Falls, Vt.","June 01, 1860",3
"The daily Gate City. [volume]",sn83025182,"Keokuk, Iowa","March 06, 1860",3
"The Tipton advertiser. [volume]",sn84027398,"Tipton, Cedar Co., Iowa","July 09, 1859",3
"The Cedar County advertiser. [volume]",sn85049614,"Tipton, Iowa","May 23, 1855",3
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","September 06, 1860",1
"The Richmond palladium. [volume]",sn86058250,"Richmond, Ind.","July 28, 1859",3
"The weekly Ottumwa courier. [volume]",sn84027352,"Ottumwa, Iowa","August 13, 1857",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","January 23, 1857",2
"St. Charles City Republican intelligencer. [volume]",sn82014141,"St. Charles City [Charles City], Iowa","March 22, 1860",3
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","December 15, 1854",3
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","April 24, 1860",2
"The Burlington weekly hawk-eye. [volume]",sn84027060,"Burlington [Iowa]","January 21, 1860",3
"New-York daily tribune. [volume]",sn83030213,"New-York [N.Y.]","August 16, 1858, Page 6",6
"Columbia Democrat and Bloomsburg general advertiser. [volume]",sn85025181,"Bloomsburg, Pa.","June 30, 1860",3
"The weekly Ottumwa courier. [volume]",sn84027352,"Ottumwa, Iowa","August 06, 1857",2
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","June 21, 1859",1
"The Ashland union. [volume]",sn83035173,"Ashland, Ashland County, Ohio","August 26, 1857",4
"Alexandria gazette. [volume]",sn85025007,"Alexandria, D.C.","December 22, 1859",3
"The Ottawa free trader. [volume]",sn84038582,"Ottawa, Ill.","July 04, 1857",1
"The Caledonian. [volume]",sn84023252,"St. Johnsbury, Vt.","October 24, 1857",3
"Belmont chronicle. [volume]",sn85026241,"St. Clairsville, Ohio","July 29, 1858",4
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","March 22, 1858",3
"Marshall County Republican.",sn84038034,"Plymouth, Ind.","September 09, 1858",3
"Wabash express. [volume]",sn82016350,"Terre-Haute, Vigo Co[unty], Ind.","February 01, 1860",2
"Wabash express. [volume]",sn82016350,"Terre-Haute, Vigo Co[unty], Ind.","January 25, 1860",2
"Wabash express. [volume]",sn82016350,"Terre-Haute, Vigo Co[unty], Ind.","October 05, 1859",2
"Randolph County journal. [volume]",sn86058541,"Winchester, Randolph County, Ind.","December 08, 1859",3
"Wabash express. [volume]",sn82016350,"Terre-Haute, Vigo Co[unty], Ind.","June 27, 1860",2
"Wabash express. [volume]",sn82016350,"Terre-Haute, Vigo Co[unty], Ind.","May 11, 1859",2
"Randolph County journal. [volume]",sn86058541,"Winchester, Randolph County, Ind.","July 14, 1859",3
"Daily Iowa State Democrat. [volume]",sn82014134,"Davenport, Iowa","August 27, 1858",1
"St. Charles City Republican intelligencer. [volume]",sn82014141,"St. Charles City [Charles City], Iowa","December 08, 1859",2
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","March 27, 1852",2
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","May 07, 1853",3
"Lewisburg chronicle. [volume]",sn85055197,"Lewisburg, Pa.","June 06, 1856",1
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","December 24, 1858",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","January 17, 1856",2
"The Cass County Republican. [volume]",sn85033611,"Dowagiac, Mich.","July 08, 1858",1
