Year, Count
1916,14560
1915,14421
1922,13941
1921,13645
1919,13610
1913,13470
1917,13470
1914,13448
1920,13208
1912,12235
1910,12199
1911,12019
1909,11824
1918,11626
1908,10488
1905,9776
1907,9393
1906,9031
1903,8655
1904,8466
1902,7599
1901,7212
1899,5861
1897,5753
1900,5668
1898,5033
1895,4827
1896,4692
1923,4140
1894,4101
1893,3513
1891,3475
1892,3269
1924,3250
1889,2923
1890,2896
1929,2668
1935,2664
1927,2628
1941,2615
1936,2599
1942,2546
1930,2513
1934,2441
1932,2436
1937,2427
1888,2409
1949,2405
1887,2374
1933,2351
1950,2338
1925,2332
1931,2326
1928,2320
1940,2313
1948,2271
1945,2218
1947,2210
1886,2189
1943,2173
1885,2165
1926,2140
1946,2134
1944,2088
1939,2065
1938,2046
1884,1748
1883,1721
1881,1599
1880,1350
1882,1339
1879,1314
1878,1152
1873,1128
1874,1121
1875,1105
1876,965
1872,906
1877,896
1870,879
1871,777
1869,531
1867,473
1866,458
1868,411
1860,280
1859,253
1863,228
Imag,226
1865,220
1858,200
1862,196
1857,179
1855,150
1861,145
mage,138
1856,124
1864,122
1854,110
1853,100
1852,60
1850,52
1849,42
1846,40
1841,37
1845,24
1842,21
1839,16
1851,15
1848,12
1847,11
1844,8
1836,4
1843,4
1837,4
1840,3
1838,2
