Word, Count
"well",5
"right",5
"great",5
"popular",4
"proper",3
"important",3
"better",3
"free",3
"positively",2
"rich",2
"peace",2
"support",2
"recommendations",2
"best",2
"willing",2
"regard",2
"accomplished",2
"sufficient",2
"favor",1
"gallant",1
"remarkably",1
"success",1
"loyal",1
"sincerely",1
"correct",1
"remedy",1
"protection",1
"immaculate",1
"pride",1
"distinction",1
"brave",1
"deserving",1
"striking",1
"eloquent",1
"supreme",1
"educated",1
"good",1
"skill",1
"enough",1
"pure",1
"desirable",1
"easy",1
"intelligent",1
"glad",1
"assuredly",1
"lead",1
"qualify",1
"excitement",1
"worth",1
"fortunate",1
"worked",1
"greatest",1
"confidence",1
"leading",1
"enthusiastic",1
"welcome",1
"like",1
"exceeding",1
"ample",1
"tender",1
"prudence",1
"prompt",1
"handsome",1
"trust",1
"prefer",1
"exceeds",1
"promptly",1
"satisfactory",1
"nice",1
"fine",1
"fancy",1
"indebted",1
_____,_____
"burned",3
"attack",2
"rumors",2
"conservative",2
"inconvenience",2
"losers",2
"lost",2
"fall",1
"alarmed",1
"rumor",1
"dead",1
"infested",1
"troubles",1
"trouble",1
"falls",1
"powerless",1
"suffering",1
"miscreant",1
"sickly",1
"protest",1
"concern",1
"cloud",1
"kill",1
"lengthy",1
"wrong",1
"strike",1
"danger",1
"fears",1
"ding",1
"unlawful",1
"death",1
"sadly",1
"complaining",1
"absurdity",1
"slave",1
"rubbish",1
"injure",1
"neglect",1
"evil",1
"limitations",1
"deficient",1
"deficiency",1
"broke",1
"losses",1
"destructive",1
"alarm",1
"difficulty",1
"lack",1
"confined",1
"fraud",1
"failing",1
"issue",1
"idle",1
"lose",1
"ail",1
"pain",1
"rail",1
"fail",1
"hassles",1
"gutter",1
"unsettled",1
